"Document ID","Code","Name","Source Category Code","Source Category Name","Customer Display Category","Active","Sellable","Available","Dietary Data Status","Dietary Classification","Category Review Status","Category Review Reason"
"HOJI_MAPLE_LATTE","HOJI_MAPLE_LATTE","Hoji Maple Latte","ESP","Espresso Bar","Coffee","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"HOMEMADE_ICED_TEA","HOMEMADE_ICED_TEA","Homemade Iced Tea","CCF","Cold Crafted","Cold Drinks","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"HONG_KONG_GUNNER","HONG_KONG_GUNNER","Hong Kong Gunner","CCF","Cold Crafted","Cold Drinks","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"HUMMUS_VEGGIES","HUMMUS_VEGGIES","Hummus & Veggies","ZAF","Zaffle & Bites","Food","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"ICED_AMERICANO","ICED_AMERICANO","Iced Americano","MIS","Misc","Other","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"ICED_LATTE","ICED_LATTE","Iced Latte","ESP","Espresso Bar","Coffee","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"ICED_VIETNAMESE","ICED_VIETNAMESE","Iced Vietnamese","CBV","Cold Brew & Vietnamese","Cold Coffee","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"KALE_RICOTTA_TOAST","KALE_RICOTTA_TOAST","Kale Ricotta Toast","MIS","Misc","Other","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"KIMCHI_FRIED_RICE","KIMCHI_FRIED_RICE","Kimchi Fried Rice","ZAF","Zaffle & Bites","Food","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"LATTE","LATTE","Latte","ESP","Espresso Bar","Coffee","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"LEMON_ICE_CREAM","LEMON_ICE_CREAM","Lemon Ice Cream","ICE","Housemade Dairy Ice Cream","Desserts","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"LEMON_OJ_BITTER","LEMON_OJ_BITTER","Lemon OJ Bitter","CCF","Cold Crafted","Cold Drinks","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"LONG_BLACK","LONG_BLACK","Long Black","ESP","Espresso Bar","Coffee","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"MACCHIATO","MACCHIATO","Macchiato","ESP","Espresso Bar","Coffee","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"MAGIK","MAGIK","Magik","ESP","Espresso Bar","Coffee","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"MAISON_LEMONADE","MAISON_LEMONADE","Maison Lemonade","CCF","Cold Crafted","Cold Drinks","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"MANGO_ICE_CREAM","MANGO_ICE_CREAM","Mango Ice Cream","ICE","Housemade Dairy Ice Cream","Desserts","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"MANGO_MATCHA","MANGO_MATCHA","Mango Matcha","MAT","Matcha & Manual Brews","Matcha & Tea","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"MARGHERITA","MARGHERITA","Margherita","PIZ","Pizza & Pide","Food","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"MATCHA_LATTE_HOT_ICED","MATCHA_LATTE_HOT_ICED","Matcha Latte (Hot / Iced)","ESP","Espresso Bar","Coffee","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"MEDITERRANEAN_MEZZE_PLATTER","MEDITERRANEAN_MEZZE_PLATTER","Mediterranean Mezze Platter","ESP","Espresso Bar","Coffee","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","SOURCE_DATA_REVIEW","Source category is ESP / Espresso Bar. The customer UI therefore shows Coffee; owner source-data correction is required."
"MISO_LATTE","MISO_LATTE","Miso Latte","ESP","Espresso Bar","Coffee","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"MIXED_BUSINESS_ZAFFLE","MIXED_BUSINESS_ZAFFLE","Mixed Business Jaffle","MIS","Misc","Other","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"MOZZARELLA_PESTO","MOZZARELLA_PESTO","Mozzarella & Pesto","PIZ","Pizza & Pide","Food","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"MR_PINK","MR_PINK","Mr. Pink","MIS","Misc","Other","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"MR_RED","MR_RED","Mr. Red","MIS","Misc","Other","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"MR_WHITE","MR_WHITE","Mr. White","MIS","Misc","Other","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"PANCAKES","PANCAKES","Pancakes","ZAF","Zaffle & Bites","Food","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"POTATO_ONION_ZAFFLE","POTATO_ONION_ZAFFLE","Potato & Onion Zaffle","ZAF","Zaffle & Bites","Food","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"POUR_OVER","POUR_OVER","Pour Over","MAT","Matcha & Manual Brews","Matcha & Tea","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"ROASTED_FRIES","ROASTED_FRIES","Roasted Fries","ZAF","Zaffle & Bites","Food","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"SEASONAL_JUICE","SEASONAL_JUICE","Seasonal Juice","JUI","Fresh Juices","Cold Drinks","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"SHROOM_ZAFFLE","SHROOM_ZAFFLE","Shroom Zaffle","ZAF","Zaffle & Bites","Food","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"TIRAMISU","TIRAMISU","Tiramisu","MIS","Misc","Other","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"VANILLA_ICE_CREAM","VANILLA_ICE_CREAM","Vanilla Ice Cream","ICE","Housemade Dairy Ice Cream","Desserts","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"VEGGIES","VEGGIES","Veggies","MIS","Misc","Other","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"WATERMELON_AND_RICOTTA","WATERMELON_AND_RICOTTA","Watermelon and Ricotta","MIS","Misc","Other","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"WATERMELON_ICE_CREAM","WATERMELON_ICE_CREAM","Watermelon Ice Cream","ICE","Housemade Dairy Ice Cream","Desserts","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
