"Record","Current Value","Classification","Problem","Recommended Value","Confidence","Owner Decision Required","BOM Version","Evidence"
"finishedGoods/MAISON_LEMONADE","Not present","AMBIGUOUS","The BOM resolves, but ingredient master records have no trusted dietary metadata and no explicit egg/non-vegetarian leaf proves a classification.","LEAVE BLANK pending owner or supplier dietary evidence","LOW","YES","1","5 resolved leaf ingredient records; none has trusted dietary metadata"
"finishedGoods/MANGO_ICE_CREAM","Not present","CLEARLY_CONTAINS_EGG","No dietary field is stored; BOM trace reaches explicit raw ingredient EGG.","EGG","HIGH","YES","2","Recursive BOM leaf: EGG"
"finishedGoods/MANGO_MATCHA","Not present","AMBIGUOUS","The BOM resolves, but ingredient master records have no trusted dietary metadata and no explicit egg/non-vegetarian leaf proves a classification.","LEAVE BLANK pending owner or supplier dietary evidence","LOW","YES","1","5 resolved leaf ingredient records; none has trusted dietary metadata"
"finishedGoods/MARGHERITA","Not present","AMBIGUOUS","The BOM resolves, but ingredient master records have no trusted dietary metadata and no explicit egg/non-vegetarian leaf proves a classification.","LEAVE BLANK pending owner or supplier dietary evidence","LOW","YES","2","8 resolved leaf ingredient records; none has trusted dietary metadata"
"finishedGoods/MATCHA_LATTE_HOT_ICED","Not present","AMBIGUOUS","The BOM resolves, but ingredient master records have no trusted dietary metadata and no explicit egg/non-vegetarian leaf proves a classification.","LEAVE BLANK pending owner or supplier dietary evidence","LOW","YES","3","3 resolved leaf ingredient records; none has trusted dietary metadata"
"finishedGoods/MEDITERRANEAN_MEZZE_PLATTER","Not present","AMBIGUOUS","The BOM resolves, but ingredient master records have no trusted dietary metadata and no explicit egg/non-vegetarian leaf proves a classification.","LEAVE BLANK pending owner or supplier dietary evidence","LOW","YES","3","10 resolved leaf ingredient records; none has trusted dietary metadata"
"finishedGoods/MISO_LATTE","Not present","AMBIGUOUS","The BOM resolves, but ingredient master records have no trusted dietary metadata and no explicit egg/non-vegetarian leaf proves a classification.","LEAVE BLANK pending owner or supplier dietary evidence","LOW","YES","1","5 resolved leaf ingredient records; none has trusted dietary metadata"
"finishedGoods/MIX_BUSINESS","Not present","MISSING_SOURCE_EVIDENCE","The final Finished Good BOM is empty, so dietary status cannot be traced to ingredients.","LEAVE BLANK until a complete approved BOM or dietary source is supplied","HIGH","YES","2","No complete recursive BOM evidence"
"finishedGoods/MIXED_BUSINESS_ZAFFLE","Not present","CLEARLY_CONTAINS_EGG","No dietary field is stored; BOM trace reaches explicit raw ingredient EGG.","EGG","HIGH","YES","4","Recursive BOM leaf: EGG"
"finishedGoods/MOZZARELLA_PESTO","Not present","AMBIGUOUS","The BOM resolves, but ingredient master records have no trusted dietary metadata and no explicit egg/non-vegetarian leaf proves a classification.","LEAVE BLANK pending owner or supplier dietary evidence","LOW","YES","2","11 resolved leaf ingredient records; none has trusted dietary metadata"
"finishedGoods/MR_PESTO","Not present","MISSING_SOURCE_EVIDENCE","The final Finished Good BOM is empty, so dietary status cannot be traced to ingredients.","LEAVE BLANK until a complete approved BOM or dietary source is supplied","HIGH","YES","2","No complete recursive BOM evidence"
"finishedGoods/MR_PINK","Not present","AMBIGUOUS","The BOM resolves, but ingredient master records have no trusted dietary metadata and no explicit egg/non-vegetarian leaf proves a classification.","LEAVE BLANK pending owner or supplier dietary evidence","LOW","YES","1","10 resolved leaf ingredient records; none has trusted dietary metadata"
"finishedGoods/MR_RED","Not present","AMBIGUOUS","The BOM resolves, but ingredient master records have no trusted dietary metadata and no explicit egg/non-vegetarian leaf proves a classification.","LEAVE BLANK pending owner or supplier dietary evidence","LOW","YES","1","7 resolved leaf ingredient records; none has trusted dietary metadata"
"finishedGoods/MR_WHITE","Not present","AMBIGUOUS","The BOM resolves, but ingredient master records have no trusted dietary metadata and no explicit egg/non-vegetarian leaf proves a classification.","LEAVE BLANK pending owner or supplier dietary evidence","LOW","YES","1","6 resolved leaf ingredient records; none has trusted dietary metadata"
"finishedGoods/PANCAKES","Not present","CLEARLY_CONTAINS_EGG","No dietary field is stored; BOM trace reaches explicit raw ingredient EGG.","EGG","HIGH","YES","2","Recursive BOM leaf: EGG"
"finishedGoods/POTATO_ONION_ZAFFLE","Not present","CLEARLY_CONTAINS_EGG","No dietary field is stored; BOM trace reaches explicit raw ingredient EGG.","EGG","HIGH","YES","3","Recursive BOM leaf: EGG"
"finishedGoods/POUR_OVER","Not present","AMBIGUOUS","The BOM resolves, but ingredient master records have no trusted dietary metadata and no explicit egg/non-vegetarian leaf proves a classification.","LEAVE BLANK pending owner or supplier dietary evidence","LOW","YES","2","3 resolved leaf ingredient records; none has trusted dietary metadata"
"finishedGoods/PROTEIN_NACHOS","Not present","MISSING_SOURCE_EVIDENCE","The final Finished Good BOM is empty, so dietary status cannot be traced to ingredients.","LEAVE BLANK until a complete approved BOM or dietary source is supplied","HIGH","YES","4","No complete recursive BOM evidence"
"finishedGoods/ROASTED_FRIES","Not present","AMBIGUOUS","The BOM resolves, but ingredient master records have no trusted dietary metadata and no explicit egg/non-vegetarian leaf proves a classification.","LEAVE BLANK pending owner or supplier dietary evidence","LOW","YES","2","5 resolved leaf ingredient records; none has trusted dietary metadata"
"finishedGoods/SEASONAL_JUICE","Not present","MISSING_SOURCE_EVIDENCE","The final Finished Good BOM is empty, so dietary status cannot be traced to ingredients.","LEAVE BLANK until a complete approved BOM or dietary source is supplied","HIGH","YES","2","No complete recursive BOM evidence"
"finishedGoods/SHROOM_ZAFFLE","Not present","CLEARLY_CONTAINS_EGG","No dietary field is stored; BOM trace reaches explicit raw ingredient EGG.","EGG","HIGH","YES","3","Recursive BOM leaf: EGG"
"finishedGoods/THE_GREEN_HARISSA_SMASH","Not present","MISSING_SOURCE_EVIDENCE","The final Finished Good BOM is empty, so dietary status cannot be traced to ingredients.","LEAVE BLANK until a complete approved BOM or dietary source is supplied","HIGH","YES","2","No complete recursive BOM evidence"
"finishedGoods/THE_MELBOURNE_FOLD","Not present","CLEARLY_CONTAINS_EGG","No dietary field is stored; BOM trace reaches explicit raw ingredient EGG.","EGG","HIGH","YES","3","Recursive BOM leaf: EGG"
"finishedGoods/THE_MIGHTY_MUSHROOM","Not present","MISSING_SOURCE_EVIDENCE","The final Finished Good BOM is empty, so dietary status cannot be traced to ingredients.","LEAVE BLANK until a complete approved BOM or dietary source is supplied","HIGH","YES","2","No complete recursive BOM evidence"
"finishedGoods/TIRAMISU","Not present","AMBIGUOUS","The BOM resolves, but ingredient master records have no trusted dietary metadata and no explicit egg/non-vegetarian leaf proves a classification.","LEAVE BLANK pending owner or supplier dietary evidence","LOW","YES","3","6 resolved leaf ingredient records; none has trusted dietary metadata"
"finishedGoods/TRES_LECHES_NUTTY","Not present","MISSING_SOURCE_EVIDENCE","The final Finished Good BOM is empty, so dietary status cannot be traced to ingredients.","LEAVE BLANK until a complete approved BOM or dietary source is supplied","HIGH","YES","2","No complete recursive BOM evidence"
"finishedGoods/VANILLA_ICE_CREAM","Not present","CLEARLY_CONTAINS_EGG","No dietary field is stored; BOM trace reaches explicit raw ingredient EGG.","EGG","HIGH","YES","3","Recursive BOM leaf: EGG"
"finishedGoods/VEGGIES","Not present","AMBIGUOUS","The BOM resolves, but ingredient master records have no trusted dietary metadata and no explicit egg/non-vegetarian leaf proves a classification.","LEAVE BLANK pending owner or supplier dietary evidence","LOW","YES","2","2 resolved leaf ingredient records; none has trusted dietary metadata"
"finishedGoods/WATERMELON_AND_RICOTTA","Not present","AMBIGUOUS","The BOM resolves, but ingredient master records have no trusted dietary metadata and no explicit egg/non-vegetarian leaf proves a classification.","LEAVE BLANK pending owner or supplier dietary evidence","LOW","YES","2","4 resolved leaf ingredient records; none has trusted dietary metadata"
"finishedGoods/WATERMELON_ICE_CREAM","Not present","CLEARLY_CONTAINS_EGG","No dietary field is stored; BOM trace reaches explicit raw ingredient EGG.","EGG","HIGH","YES","3","Recursive BOM leaf: EGG"
"finishedGoods/BOND_FRAPPE","MIS / Misc","CATEGORY_REVIEW","The deterministic customer mapping now shows Other. Its verified BOM is a coffee/milk beverage, so Misc is not an adequate customer category.","Owner confirmation required; safest existing candidate is CCF / Cold Crafted","MEDIUM","YES","5","Finished Good BOM resolves to coffee, milk, ice and vanilla/ice-cream ingredients"
"finishedGoods/MEDITERRANEAN_MEZZE_PLATTER","ESP / Espresso Bar","CATEGORY_REVIEW","The deterministic customer mapping shows Coffee, but the verified BOM is a chickpea, pita, tahini and vegetable platter.","Owner confirmation required; safest existing candidate is ZAF / Zaffle & Bites","MEDIUM","YES","3","Finished Good BOM resolves to chickpeas, pita, tahini, vegetables and herbs"
